cell_type	B cell	Macrophage M1	Macrophage M2	Monocyte	Neutrophil	NK cell	T cell CD4+ (non-regulatory)	T cell CD8+	T cell regulatory (Tregs)	Myeloid dendritic cell	uncharacterized cell
TCGA.AB.2828	0.013	0	0.669	0.317	0	0.001	0	0	0	0	0
TCGA.AB.2808	0.017	0	0.149	0.079	0.054	0.017	0	0	0.005	0	0.679
TCGA.AB.2950	0.011	0.004	0.016	0.026	0.032	0.061	0	0	0.032	0.046	0.773
TCGA.AB.2849	0.01	0.018	0.007	0.029	0.015	0.064	0	0	0.044	0.008	0.804
TCGA.AB.2915	0.022	0.034	0.126	0.081	0.067	0.022	0	0.02	0.015	0	0.612
TCGA.AB.2939	0.008	0	0.434	0.118	0	0.113	0	0	0.03	0	0.296
TCGA.AB.2959	0.034	0.012	0.054	0.006	0	0.07	0	0	0.062	0.047	0.715
TCGA.AB.2927	0.059	0	0.222	0.146	0	0.02	0	0.001	0.036	0	0.515
TCGA.AB.2943	0.049	0.003	0.057	0	0	0.044	0.054	0.01	0.048	0.053	0.681
TCGA.AB.2912	0.015	0	0.433	0.217	0	0.036	0	0	0	0	0.298
TCGA.AB.2908	0.01	0.007	0.069	0.072	0.03	0.034	0	0.003	0.017	0	0.758
TCGA.AB.2949	0.023	0.08	0.1	0.104	0	0.033	0	0	0.03	0	0.63
TCGA.AB.2872	0.013	0.014	0.008	0.033	0.021	0.112	0	0	0.036	0	0.763
TCGA.AB.2882	0.025	0.03	0.105	0.029	0	0.055	0	0.009	0.071	0.014	0.663
TCGA.AB.2914	0.031	0	0.349	0.115	0	0.011	0	0	0	0	0.495
TCGA.AB.2936	0.062	0	0.095	0.023	0.026	0.033	0.069	0.007	0.041	0.046	0.599
TCGA.AB.2935	0.022	0	0.144	0.127	0	0.037	0	0.009	0.019	0	0.642
TCGA.AB.2877	0.014	0	0.213	0.058	0	0.065	0	0	0.019	0	0.631
TCGA.AB.2899	0.087	0	0.252	0.191	0	0.043	0	0	0.019	0	0.407
TCGA.AB.2898	0.007	0.001	0.024	0.007	0.122	0.087	0	0	0.044	0.019	0.691
TCGA.AB.2919	0.022	0	0.125	0.004	0	0.039	0	0	0.009	0.009	0.792
TCGA.AB.2900	0.012	0	0.22	0.209	0	0.018	0	0	0	0	0.54
TCGA.AB.2846	0.026	0	0.574	0.201	0	0.009	0	0	0	0	0.19
TCGA.AB.2917	0.017	0.001	0.037	0.087	0.008	0.019	0.083	0.003	0.034	0.02	0.69
TCGA.AB.2819	0.028	0	0.1	0.078	0	0.041	0	0	0.007	0.009	0.736
TCGA.AB.2869	0.021	0	0.118	0	0.009	0.078	0	0	0.029	0.01	0.734
TCGA.AB.2930	0.045	0	0.287	0.1	0	0.028	0	0	0	0	0.539
TCGA.AB.2863	0	0.072	0.01	0.058	0	0.175	0	0	0.075	0	0.61
TCGA.AB.2821	0.035	0	0.182	0.092	0	0.113	0	0	0.047	0	0.531
TCGA.AB.2955	0.027	0	0.038	0.021	0.001	0.025	0	0	0.018	0.036	0.834
TCGA.AB.2916	0.024	0	0.403	0.323	0	0.003	0	0	0.021	0	0.226
TCGA.AB.2931	0.011	0.012	0.094	0	0	0.053	0	0	0.008	0.029	0.792
TCGA.AB.2885	0.019	0.008	0.018	0	0.032	0.042	0	0.004	0.03	0.067	0.779
TCGA.AB.2924	0.008	0	0.68	0.295	0	0.016	0	0	0	0	0
TCGA.AB.2918	0.045	0	0.196	0.066	0	0.045	0	0	0	0	0.648
TCGA.AB.2871	0.059	0.006	0.047	0	0	0.066	0	0.018	0.076	0.015	0.714
TCGA.AB.2895	0.012	0	0.076	0	0.087	0.032	0	0	0.006	0.011	0.776
TCGA.AB.2956	0	0	0.826	0.174	0	0	0	0	0	0	0
TCGA.AB.2925	0	0	1	0	0	0	0	0	0	0	0
TCGA.AB.2934	0.007	0	0.908	0.085	0	0	0	0	0	0	0
TCGA.AB.2910	0	0	1	0	0	0	0	0	0	0	0
TCGA.AB.2929	0.04	0	0.056	0	0.017	0.027	0.185	0	0.034	0.048	0.594
TCGA.AB.2886	0.112	0	0.062	0	0.018	0.077	0	0	0.025	0.055	0.65
TCGA.AB.2891	0.029	0	0.574	0.22	0	0.009	0	0	0.003	0	0.165
TCGA.AB.2874	0.001	0.006	0.123	0.059	0	0.069	0	0	0.025	0	0.718
TCGA.AB.2952	0.048	0	0.248	0.125	0	0.032	0	0.004	0.026	0	0.517
TCGA.AB.2847	0.025	0.004	0.059	0.033	0	0.055	0	0.008	0.03	0.037	0.749
TCGA.AB.2876	0.03	0	0.211	0.069	0	0.021	0	0	0.003	0	0.666
TCGA.AB.2913	0.01	0	0.045	0	0	0.105	0	0	0.045	0.036	0.759
TCGA.AB.2862	0.038	0	0.084	0	0.007	0.074	0	0	0.02	0	0.778
TCGA.AB.2928	0.01	0.069	0	0	0	0.041	0	0	0.007	0.089	0.785
TCGA.AB.2901	0.003	0.018	0.096	0	0.029	0.05	0	0	0.018	0.012	0.775
TCGA.AB.2890	0.023	0	0.044	0.049	0	0.04	0.063	0.039	0.05	0.065	0.626
TCGA.AB.2875	0.067	0	0.078	0	0	0.048	0	0	0.03	0.058	0.719
TCGA.AB.2881	0.054	0	0.207	0.122	0	0.022	0	0.008	0.018	0	0.568
TCGA.AB.2921	0.036	0	0.249	0.097	0	0.044	0	0	0.006	0	0.567
TCGA.AB.2888	0.008	0	0.732	0.261	0	0	0	0	0	0	0
TCGA.AB.2920	0.027	0.053	0.011	0.027	0	0.095	0	0	0.027	0.037	0.722
TCGA.AB.2937	0.035	0	0.136	0	0	0.024	0	0	0.015	0.104	0.686
TCGA.AB.2870	0.043	0	0.554	0.232	0	0.014	0	0	0	0	0.157
TCGA.AB.2940	0.037	0	0.172	0.08	0	0.033	0	0	0.009	0	0.669
TCGA.AB.2946	0.04	0	0.303	0.147	0	0.027	0	0	0	0	0.483
TCGA.AB.2897	0.012	0.008	0.006	0.035	0.023	0.077	0	0	0.022	0	0.817
TCGA.AB.2932	0	0	0.919	0.081	0	0	0	0	0	0	0
TCGA.AB.2911	0.033	0	0.222	0.222	0	0.011	0	0	0.013	0	0.498
TCGA.AB.2889	0.021	0	0.554	0.184	0	0.022	0	0	0	0	0.219
TCGA.AB.2884	0.046	0	0.465	0.252	0	0.008	0	0	0	0	0.23
TCGA.AB.2883	0.019	0	0.652	0.194	0	0.027	0	0	0	0	0.107
TCGA.AB.2835	0	0	0.652	0.348	0	0	0	0	0	0	0
TCGA.AB.2892	0.023	0	0.726	0.197	0	0	0	0	0	0	0.054
TCGA.AB.2942	0.03	0	0.476	0.177	0	0.013	0	0	0	0	0.304
TCGA.AB.2948	0	0	0.785	0.215	0	0	0	0	0	0	0
TCGA.AB.2880	0.039	0	0.262	0.13	0	0.033	0	0	0	0	0.535
TCGA.AB.2873	0	0	0.718	0.282	0	0	0	0	0	0	0
TCGA.AB.2933	0.114	0	0.727	0.159	0	0	0	0	0	0	0
TCGA.AB.2992	0.028	0	0.34	0.134	0.105	0.045	0	0	0.007	0	0.339
TCGA.AB.2975	0.014	0.077	0.004	0.041	0	0.033	0	0	0.006	0.001	0.824
TCGA.AB.2982	0.039	0	0.023	0.037	0	0.117	0	0	0.056	0	0.728
TCGA.AB.2983	0.045	0	0.476	0.177	0	0.1	0	0	0.033	0	0.168
TCGA.AB.2970	0	0	1	0	0	0	0	0	0	0	0
TCGA.AB.2966	0.028	0	0.106	0.035	0	0.038	0.005	0	0.026	0.009	0.754
TCGA.AB.3009	0.014	0	0.007	0.073	0.034	0.07	0	0	0.027	0.063	0.711
TCGA.AB.2988	0.023	0.009	0.087	0	0.052	0.054	0	0	0.017	0.009	0.748
TCGA.AB.2999	0.017	0	0.037	0.027	0	0.086	0	0	0.055	0.01	0.767
TCGA.AB.2986	0.017	0.009	0.046	0	0.025	0.024	0	0	0.002	0.023	0.855
TCGA.AB.2944	0.029	0.138	0	0	0	0.033	0	0	0.021	0	0.78
TCGA.AB.3008	0.065	0	0.047	0.045	0.005	0.034	0	0	0.004	0.006	0.794
TCGA.AB.2878	0.023	0.07	0.015	0	0	0.04	0	0	0.035	0.02	0.797
TCGA.AB.2977	0.023	0	0.453	0.207	0	0.04	0	0	0.004	0	0.274
TCGA.AB.3007	0	0	0.031	0	0.001	0.165	0	0	0.066	0.02	0.717
